        TIME,    TIDE,      OB,   SURGE,    BIAS,     TWL,SURGE90p,  TWL90p,SURGE10p,   TWL10p
202604031800,   1.291,   1.289,   0.600,  -0.602,   1.289,   0.500,   1.189,   0.600,   1.289
202604031806,   1.213,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604031812,   1.136,   1.108,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604031818,   1.060,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604031824,   0.984,   0.928,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604031830,   0.910,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604031836,   0.836,   0.790,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604031842,   0.764,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604031848,   0.694,   0.669,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604031854,   0.625,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604031900,   0.557,   0.560,   0.600,  -0.597,   0.560,   0.500,   0.460,   0.600,   0.560
202604031906,   0.492,   0.508,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604031912,   0.429,   0.459,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604031918,   0.369,   0.419,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604031924,   0.311,   0.360,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604031930,   0.256,   0.331,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604031936,   0.204,   0.278,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604031942,   0.156,   0.278,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604031948,   0.111,   0.259,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604031954,   0.071,   0.239,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604032000,   0.034,   0.229,   0.500,  -0.305,   0.229,   0.500,   0.229,   0.500,   0.229
202604032006,   0.002,   0.249,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604032012,  -0.025,   0.249,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604032018,  -0.047,   0.298,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604032024,  -0.065,   0.298,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604032030,  -0.076,   0.331,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604032036,  -0.082,   0.278,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604032042,  -0.082,   0.331,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604032048,  -0.075,   0.390,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604032054,  -0.063,   0.419,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604032100,  -0.043,   0.518,   0.500,   0.061,   0.518,   0.400,   0.418,   0.500,   0.518
202604032106,  -0.017,   0.580,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604032112,   0.016,   0.659,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604032118,   0.056,   0.908,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604032124,   0.103,   1.010,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604032130,   0.158,   1.088,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604032136,   0.219,   1.039,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604032142,   0.287,   1.118,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604032148,   0.361,   1.210,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604032154,   0.442,   1.308,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604032200,   0.529,   1.390,   0.500,   0.361,   1.390,   0.400,   1.290,   0.500,   1.390
202604032206,   0.622,   1.469,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604032212,   0.720,   1.590,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604032218,   0.823,   1.708,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604032224,   0.930,   1.990,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604032230,   1.041,   2.079,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604032236,   1.155,   2.030,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604032242,   1.272,   2.138,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604032248,   1.391,   2.250,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604032254,   1.511,   2.368,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604032300,   1.631,   2.459,   0.400,   0.428,   2.459,   0.400,   2.459,   0.400,   2.459
202604032306,   1.752,   2.548,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604032312,   1.873,   2.630,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
